customer_id,product_name,journey_length,currently_customer,customer age group at the point of sign up
445,product11,185,N,under 18
2831,product5,965,N,25-35
2834,product11,1032,N,25-35
2855,product5,8,N,25-35
2885,product5,45,N,25-35
2898,product5,718,N,25-35
2912,product5,1981,N,25-35
2916,product11,181,Y,25-35
2932,product5,2413,Y,25-35
2981,product5,100,N,25-35
3017,product5,552,N,25-35
3018,product5,1108,N,under 18
3021,product5,60,N,25-35
3058,product5,1319,N,under 18
3061,product5,746,N,25-35
3062,product5,58,N,25-35
3088,product5,228,N,25-35
3088,product9,109,Y,25-35
3105,product5,2072,N,25-35
3115,product5,47,N,25-35
3137,product5,59,N,25-35
3141,product5,1637,Y,25-35
3169,product5,2020,Y,25-35
3171,product5,792,N,under 18
3182,product5,87,N,25-35
3197,product5,183,N,25-35
3224,product5,618,N,25-35
3241,product5,152,N,25-35
3241,product3,242,N,25-35
3245,product5,764,N,25-35
3249,product5,884,Y,25-35
3301,product5,550,N,25-35
3337,product5,81,N,25-35
3337,product11,762,N,25-35
3339,product11,2067,N,25-35
3374,product11,818,N,25-35
3386,product5,57,N,25-35
3403,product11,489,N,25-35
3407,product11,704,N,25-35
3408,product1,522,N,25-35
3409,product5,1161,N,25-35
3421,product1,1076,N,25-35
3421,product11,2053,N,25-35
3426,product5,1494,N,25-35
3445,product5,514,N,25-35
3464,product5,1960,N,25-35
3517,product1,1587,Y,25-35
3532,product5,843,N,under 18
3600,product11,2067,N,25-35
3607,product5,49,N,25-35
3626,product1,1615,Y,25-35
3643,product5,1553,N,25-35
3647,product5,862,N,25-35
3656,product1,2067,N,25-35
3664,product5,273,N,25-35
3679,product5,2065,N,25-35
3721,product5,55,N,25-35
3728,product5,1883,N,25-35
3745,product5,13,N,under 18
3748,product5,329,N,25-35
3762,product5,221,N,25-35
3775,product5,1981,N,25-35
3799,product5,1743,N,25-35
3803,product5,2037,N,25-35
3816,product5,1379,N,25-35
3833,product5,1323,N,under 18
3839,product5,34,Y,25-35
3844,product5,308,N,25-35
3853,product5,1946,N,25-35
3903,product5,1553,N,25-35
3906,product5,79,Y,25-35
3922,product5,439,N,25-35
3969,product5,730,N,25-35
3978,product5,691,N,under 18
3981,product5,306,N,25-35
3992,product5,291.5,N,under 18
3999,product5,248,N,25-35
3999,product9,447,N,25-35
4016,product5,338,N,25-35
4016,product3,1400,N,25-35
4052,product1,1916,Y,25-35
4076,product5,1869,N,25-35
4099,product5,11116,N,25-35
4111,product5,885,N,under 18
4135,product5,671,N,25-35
4137,product5,14,N,25-35
4161,product5,1447,N,25-35
4171,product11,859,N,25-35
4210,product11,1808,N,25-35
4222,product5,27,N,25-35
4246,product5,1701,N,under 18
4317,product5,544,Y,25-35
4324,product5,3744,N,25-35
4329,product5,175,N,25-35
4336,product5,4,N,25-35
4357,product5,497,N,25-35
4357,product2,84,N,25-35
4367,product5,1869,N,25-35
4368,product5,71,N,25-35
4397,product5,1545,N,25-35
4400,product5,2221,Y,25-35
4433,product1,1118,N,18 - 25
4440,product11,19,Y,18 - 25
4443,product1,799,N,25-35
4452,product5,109,N,under 18
4462,product1,328,N,25-35
4501,product5,426,N,25-35
4515,product5,201,N,25-35
4515,product7,483,N,25-35
4542,product1,605,Y,25-35
4573,product5,1939,Y,25-35
4608,product5,718,N,under 18
4623,product5,1925,Y,25-35
4630,product5,2891,N,25-35
4648,product5,1494,N,under 18
4728,product5,2863,N,under 18
4834,product5,792,N,25-35
4841,product5,37,N,25-35
4842,product11,1514,N,25-35
4863,product1,145,N,25-35
4865,product1,792,Y,25-35
4898,product5,2933,N,under 18
4900,product5,2233,N,25-35
4930,product5,524,N,25-35
4951,product5,1445,N,25-35
4961,product5,97,N,25-35
4984,product5,1016,N,under 18
4991,product5,899,N,25-35
5000,product5,430,Y,25-35
5031,product11,762,N,25-35
5035,product5,396,N,25-35
5072,product5,337,N,25-35
5128,product1,1245,N,18 - 25
5132,product5,582,N,25-35
5132,product9,459,N,25-35
5298,product5,761,N,25-35
5301,product5,851,N,25-35
5367,product5,1862,Y,under 18
5426,product5,200,N,25-35
5449,product5,336,N,under 18
5474,product5,1602,N,25-35
5474,product3,681,N,25-35
5491,product11,1850,N,25-35
5514,product5,1775,N,under 18
5539,product5,137,Y,under 18
5563,product1,1773,Y,18 - 25
5618,product11,1332,N,18 - 25
5643,product5,592,N,25-35
5654,product11,1365,Y,25-35
5661,product11,274,N,25-35
5725,product11,2,N,25-35
5733,product11,1836,N,25-35
5761,product11,119,N,18 - 25
5778,product5,1079,N,25-35
5861,product11,1822,Y,25-35
5869,product5,402,N,25-35
5887,product11,1808,N,25-35
5889,product11,483,N,18 - 25
5890,product11,1850,N,25-35
5907,product11,14,Y,25-35
5909,product5,4210,N,25-35
5977,product5,177,N,25-35
5994,product5,196,N,25-35
5999,product5,846,N,under 18
6026,product11,1871,N,25-35
6052,product5,254,N,25-35
6091,product5,863,Y,under 18
6128,product1,1281,N,25-35
6197,product5,272,N,25-35
6207,product5,1343,N,25-35
6224,product5,2066,N,25-35
6226,product5,818,N,25-35
6228,product5,4795,N,25-35
6242,product5,72,Y,25-35
6244,product5,652,Y,25-35
6260,product5,412,N,under 18
6261,product5,116,Y,25-35
6280,product5,2335,N,under 18
6281,product5,1146,N,25-35
6343,product1,1794,N,25-35
6359,product1,13,N,25-35
6425,product1,1752,N,25-35
6435,product5,2824,N,under 18
6473,product1,1808,N,25-35
6512,product5,273,N,25-35
6514,product5,685,N,25-35
6552,product5,911,N,25-35
6556,product5,129,N,under 18
6583,product5,3017,N,under 18
6593,product11,530,N,25-35
6630,product1,1822,N,25-35
6638,product5,3,N,25-35
6644,product11,100,N,25-35
6655,product11,121,Y,25-35
6674,product1,835,N,25-35
6674,product11,184,Y,25-35
6684,product5,860,N,25-35
6709,product1,419,Y,25-35
6728,product11,420,N,25-35
6729,product11,836,N,25-35
6747,product11,1313,N,25-35
6775,product5,2296,N,25-35
6800,product1,1752,N,25-35
6810,product11,505,N,25-35
6846,product11,25,N,25-35
6889,product11,653,N,25-35
6930,product5,807,N,under 18
7005,product5,621,N,25-35
7062,product5,1396,N,25-35
7064,product11,2235,N,25-35
7074,product1,162,N,25-35
7135,product5,1623,Y,25-35
7146,product1,235,Y,25-35
7152,product11,151,N,25-35
7217,product11,1773,N,25-35
7288,product5,1477,N,25-35
7302,product11,14,N,25-35
7347,product11,859,N,25-35
7354,product11,1773,N,25-35
